ze2020,sector_code,year,y_true,fold,persistence
0051,BE,2013,54.0,0,57.0
0051,FZ,2013,147.0,0,154.0
0051,GI,2013,240.0,0,232.0
0051,JZ,2013,29.0,0,20.0
0051,KZ,2013,21.0,0,26.0
0051,LZ,2013,17.0,0,34.0
0051,MN,2013,81.0,0,109.0
0051,OQ,2013,77.0,0,85.0
0051,RU,2013,89.0,0,108.0
0056,BE,2013,30.0,0,39.0
0056,FZ,2013,83.0,0,78.0
0056,GI,2013,180.0,0,161.0
0056,JZ,2013,7.0,0,10.0
0056,KZ,2013,21.0,0,7.0
0056,LZ,2013,9.0,0,21.0
0056,MN,2013,73.0,0,58.0
0056,OQ,2013,42.0,0,41.0
0056,RU,2013,50.0,0,72.0
0061,BE,2013,34.0,0,37.0
0061,FZ,2013,61.0,0,89.0
0061,GI,2013,118.0,0,139.0
0061,JZ,2013,14.0,0,13.0
0061,KZ,2013,18.0,0,17.0
0061,LZ,2013,11.0,0,10.0
0061,MN,2013,81.0,0,56.0
0061,OQ,2013,35.0,0,37.0
0061,RU,2013,44.0,0,51.0
1102,BE,2013,36.0,0,35.0
1102,FZ,2013,121.0,0,103.0
1102,GI,2013,183.0,0,171.0
1102,JZ,2013,14.0,0,21.0
1102,KZ,2013,14.0,0,12.0
1102,LZ,2013,10.0,0,14.0
1102,MN,2013,114.0,0,103.0
1102,OQ,2013,68.0,0,56.0
1102,RU,2013,84.0,0,88.0
1107,BE,2013,66.0,0,87.0
1107,FZ,2013,272.0,0,308.0
1107,GI,2013,529.0,0,547.0
1107,JZ,2013,63.0,0,79.0
1107,KZ,2013,45.0,0,41.0
1107,LZ,2013,38.0,0,35.0
1107,MN,2013,307.0,0,297.0
1107,OQ,2013,154.0,0,137.0
1107,RU,2013,191.0,0,198.0
1112,BE,2013,258.0,0,264.0
1112,FZ,2013,1548.0,0,1492.0
1112,GI,2013,3048.0,0,2647.0
1112,JZ,2013,412.0,0,401.0
1112,KZ,2013,130.0,0,186.0
1112,LZ,2013,134.0,0,130.0
1112,MN,2013,1423.0,0,1441.0
1112,OQ,2013,653.0,0,628.0
1112,RU,2013,610.0,0,721.0
2402,BE,2013,98.0,0,100.0
2402,FZ,2013,168.0,0,194.0
2402,GI,2013,447.0,0,390.0
2402,JZ,2013,36.0,0,32.0
2402,KZ,2013,41.0,0,56.0
2402,LZ,2013,48.0,0,59.0
2402,MN,2013,180.0,0,195.0
2402,OQ,2013,147.0,0,151.0
2402,RU,2013,118.0,0,174.0
2407,BE,2013,28.0,0,30.0
2407,FZ,2013,56.0,0,87.0
2407,GI,2013,165.0,0,185.0
2407,JZ,2013,18.0,0,9.0
2407,KZ,2013,10.0,0,11.0
2407,LZ,2013,15.0,0,22.0
2407,MN,2013,90.0,0,75.0
2407,OQ,2013,52.0,0,49.0
2407,RU,2013,80.0,0,75.0
2412,BE,2013,37.0,0,52.0
2412,FZ,2013,103.0,0,142.0
2412,GI,2013,217.0,0,221.0
2412,JZ,2013,12.0,0,11.0
2412,KZ,2013,30.0,0,16.0
2412,LZ,2013,25.0,0,25.0
2412,MN,2013,74.0,0,75.0
2412,OQ,2013,63.0,0,54.0
2412,RU,2013,64.0,0,73.0
2702,BE,2013,69.0,0,100.0
2702,FZ,2013,168.0,0,182.0
2702,GI,2013,465.0,0,425.0
2702,JZ,2013,30.0,0,32.0
2702,KZ,2013,57.0,0,50.0
2702,LZ,2013,34.0,0,46.0
2702,MN,2013,240.0,0,204.0
2702,OQ,2013,143.0,0,135.0
2702,RU,2013,133.0,0,158.0
2707,BE,2013,70.0,0,57.0
2707,FZ,2013,145.0,0,137.0
2707,GI,2013,388.0,0,344.0
2707,JZ,2013,31.0,0,37.0
2707,KZ,2013,38.0,0,33.0
2707,LZ,2013,35.0,0,34.0
2707,MN,2013,201.0,0,194.0
2707,OQ,2013,140.0,0,125.0
2707,RU,2013,132.0,0,139.0
2712,BE,2013,42.0,0,58.0
2712,FZ,2013,92.0,0,106.0
2712,GI,2013,223.0,0,187.0
2712,JZ,2013,17.0,0,12.0
2712,KZ,2013,13.0,0,12.0
2712,LZ,2013,28.0,0,24.0
2712,MN,2013,86.0,0,78.0
2712,OQ,2013,79.0,0,66.0
2712,RU,2013,74.0,0,89.0
2717,BE,2013,45.0,0,58.0
2717,FZ,2013,111.0,0,142.0
2717,GI,2013,293.0,0,306.0
2717,JZ,2013,28.0,0,31.0
2717,KZ,2013,26.0,0,25.0
2717,LZ,2013,23.0,0,29.0
2717,MN,2013,132.0,0,121.0
2717,OQ,2013,72.0,0,85.0
2717,RU,2013,115.0,0,106.0
2804,BE,2013,191.0,0,217.0
2804,FZ,2013,594.0,0,684.0
2804,GI,2013,1353.0,0,1318.0
2804,JZ,2013,162.0,0,176.0
2804,KZ,2013,146.0,0,147.0
2804,LZ,2013,113.0,0,134.0
2804,MN,2013,718.0,0,812.0
2804,OQ,2013,539.0,0,513.0
2804,RU,2013,456.0,0,560.0
2809,BE,2013,25.0,0,35.0
2809,FZ,2013,65.0,0,71.0
2809,GI,2013,184.0,0,145.0
2809,JZ,2013,13.0,0,9.0
2809,KZ,2013,9.0,0,14.0
2809,LZ,2013,21.0,0,21.0
2809,MN,2013,46.0,0,61.0
2809,OQ,2013,50.0,0,46.0
2809,RU,2013,63.0,0,54.0
2814,BE,2013,29.0,0,34.0
2814,FZ,2013,84.0,0,121.0
2814,GI,2013,196.0,0,202.0
2814,JZ,2013,7.0,0,14.0
2814,KZ,2013,12.0,0,16.0
2814,LZ,2013,18.0,0,27.0
2814,MN,2013,85.0,0,114.0
2814,OQ,2013,46.0,0,62.0
2814,RU,2013,62.0,0,82.0
2819,BE,2013,30.0,0,39.0
2819,FZ,2013,72.0,0,70.0
2819,GI,2013,207.0,0,152.0
2819,JZ,2013,19.0,0,23.0
2819,KZ,2013,12.0,0,18.0
2819,LZ,2013,22.0,0,21.0
2819,MN,2013,88.0,0,104.0
2819,OQ,2013,75.0,0,59.0
2819,RU,2013,64.0,0,100.0
3205,BE,2013,91.0,0,78.0
3205,FZ,2013,241.0,0,276.0
3205,GI,2013,474.0,0,498.0
3205,JZ,2013,38.0,0,35.0
3205,KZ,2013,45.0,0,40.0
3205,LZ,2013,30.0,0,37.0
3205,MN,2013,189.0,0,227.0
3205,OQ,2013,199.0,0,163.0
3205,RU,2013,193.0,0,248.0
3210,BE,2013,84.0,0,77.0
3210,FZ,2013,194.0,0,186.0
3210,GI,2013,432.0,0,407.0
3210,JZ,2013,41.0,0,68.0
3210,KZ,2013,34.0,0,32.0
3210,LZ,2013,50.0,0,54.0
3210,MN,2013,254.0,0,225.0
3210,OQ,2013,172.0,0,179.0
3210,RU,2013,137.0,0,202.0
3215,BE,2013,110.0,0,97.0
3215,FZ,2013,332.0,0,369.0
3215,GI,2013,795.0,0,838.0
3215,JZ,2013,57.0,0,66.0
3215,KZ,2013,45.0,0,61.0
3215,LZ,2013,39.0,0,52.0
3215,MN,2013,264.0,0,281.0
3215,OQ,2013,245.0,0,245.0
3215,RU,2013,265.0,0,313.0
3220,BE,2013,86.0,0,72.0
3220,FZ,2013,218.0,0,243.0
3220,GI,2013,531.0,0,476.0
3220,JZ,2013,41.0,0,25.0
3220,KZ,2013,41.0,0,41.0
3220,LZ,2013,50.0,0,34.0
3220,MN,2013,177.0,0,213.0
3220,OQ,2013,153.0,0,120.0
3220,RU,2013,200.0,0,193.0
4403,BE,2013,84.0,0,60.0
4403,FZ,2013,171.0,0,182.0
4403,GI,2013,462.0,0,371.0
4403,JZ,2013,31.0,0,32.0
4403,KZ,2013,34.0,0,12.0
4403,LZ,2013,20.0,0,15.0
4403,MN,2013,128.0,0,134.0
4403,OQ,2013,114.0,0,94.0
4403,RU,2013,141.0,0,148.0
4408,BE,2013,43.0,0,46.0
4408,FZ,2013,156.0,0,166.0
4408,GI,2013,264.0,0,242.0
4408,JZ,2013,7.0,0,17.0
4408,KZ,2013,12.0,0,12.0
4408,LZ,2013,11.0,0,9.0
4408,MN,2013,90.0,0,107.0
4408,OQ,2013,56.0,0,68.0
4408,RU,2013,97.0,0,126.0
4413,BE,2013,108.0,0,119.0
4413,FZ,2013,350.0,0,329.0
4413,GI,2013,769.0,0,733.0
4413,JZ,2013,102.0,0,125.0
4413,KZ,2013,111.0,0,131.0
4413,LZ,2013,99.0,0,120.0
4413,MN,2013,474.0,0,462.0
4413,OQ,2013,353.0,0,326.0
4413,RU,2013,279.0,0,304.0
4418,BE,2013,53.0,0,38.0
4418,FZ,2013,59.0,0,77.0
4418,GI,2013,237.0,0,205.0
4418,JZ,2013,21.0,0,15.0
4418,KZ,2013,14.0,0,8.0
4418,LZ,2013,25.0,0,22.0
4418,MN,2013,92.0,0,86.0
4418,OQ,2013,75.0,0,68.0
4418,RU,2013,76.0,0,96.0
4423,BE,2013,335.0,0,285.0
4423,FZ,2013,771.0,0,804.0
4423,GI,2013,2015.0,0,1674.0
4423,JZ,2013,385.0,0,365.0
4423,KZ,2013,219.0,0,230.0
4423,LZ,2013,242.0,0,280.0
4423,MN,2013,1476.0,0,1354.0
4423,OQ,2013,952.0,0,938.0
4423,RU,2013,687.0,0,737.0
5201,BE,2013,80.0,0,72.0
5201,FZ,2013,78.0,0,98.0
5201,GI,2013,205.0,0,161.0
5201,JZ,2013,20.0,0,19.0
5201,KZ,2013,25.0,0,22.0
5201,LZ,2013,36.0,0,34.0
5201,MN,2013,121.0,0,117.0
5201,OQ,2013,76.0,0,74.0
5201,RU,2013,81.0,0,86.0
5206,BE,2013,78.0,0,103.0
5206,FZ,2013,151.0,0,164.0
5206,GI,2013,380.0,0,318.0
5206,JZ,2013,29.0,0,29.0
5206,KZ,2013,57.0,0,53.0
5206,LZ,2013,49.0,0,63.0
5206,MN,2013,177.0,0,191.0
5206,OQ,2013,110.0,0,109.0
5206,RU,2013,110.0,0,138.0
5211,BE,2013,76.0,0,88.0
5211,FZ,2013,97.0,0,113.0
5211,GI,2013,273.0,0,280.0
5211,JZ,2013,39.0,0,44.0
5211,KZ,2013,43.0,0,35.0
5211,LZ,2013,44.0,0,55.0
5211,MN,2013,216.0,0,212.0
5211,OQ,2013,140.0,0,113.0
5211,RU,2013,98.0,0,109.0
5216,BE,2013,437.0,0,472.0
5216,FZ,2013,1010.0,0,1010.0
5216,GI,2013,1833.0,0,1761.0
5216,JZ,2013,526.0,0,501.0
5216,KZ,2013,344.0,0,364.0
5216,LZ,2013,399.0,0,396.0
5216,MN,2013,1769.0,0,2048.0
5216,OQ,2013,1190.0,0,1165.0
5216,RU,2013,834.0,0,923.0
5221,BE,2013,42.0,0,22.0
5221,FZ,2013,46.0,0,53.0
5221,GI,2013,85.0,0,83.0
5221,JZ,2013,11.0,0,7.0
5221,KZ,2013,16.0,0,7.0
5221,LZ,2013,18.0,0,15.0
5221,MN,2013,55.0,0,51.0
5221,OQ,2013,36.0,0,33.0
5221,RU,2013,33.0,0,26.0
5305,BE,2013,38.0,0,23.0
5305,FZ,2013,45.0,0,48.0
5305,GI,2013,141.0,0,104.0
5305,JZ,2013,14.0,0,10.0
5305,KZ,2013,16.0,0,12.0
5305,LZ,2013,18.0,0,18.0
5305,MN,2013,72.0,0,67.0
5305,OQ,2013,51.0,0,39.0
5305,RU,2013,32.0,0,47.0
5310,BE,2013,50.0,0,62.0
5310,FZ,2013,88.0,0,99.0
5310,GI,2013,194.0,0,230.0
5310,JZ,2013,12.0,0,22.0
5310,KZ,2013,19.0,0,30.0
5310,LZ,2013,28.0,0,26.0
5310,MN,2013,120.0,0,112.0
5310,OQ,2013,91.0,0,118.0
5310,RU,2013,106.0,0,81.0
5315,BE,2013,323.0,0,330.0
5315,FZ,2013,519.0,0,616.0
5315,GI,2013,1378.0,0,1173.0
5315,JZ,2013,312.0,0,317.0
5315,KZ,2013,381.0,0,291.0
5315,LZ,2013,186.0,0,239.0
5315,MN,2013,1117.0,0,1242.0
5315,OQ,2013,845.0,0,818.0
5315,RU,2013,625.0,0,634.0
7501,BE,2013,121.0,0,167.0
